,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
351,QKC, 쿼크체인 플랫폼 오픈소스에서 1백만 이상 TPS 달성,2020.07.10,KRW,7.9,7.9,9.37,-1.59%,18.61%
352,MLK, 스테이킹형 리워드 프로그램인 '밀크팩' 도입 공시,2020.07.08,KRW,232.0,229.0,236.0,-0.7%,1.72%
353,QKC," 쿼크체인, 중국 정부 산하 자원관리 플랫폼 개발 프로젝트 수주",2020.07.07,KRW,7.07,6.89,7.11,2.16%,0.57%
354,ARDR," BBB Wise Giving Alliance, 기부 플랫폼 GiveSafely.io의 기반 기술로 Ardor 선정 및 출시",2020.07.06,KRW,59.7,58.5,61.2,-0.49%,2.51%
355,NPXS, Pundi X의 블록체인 기반 POS 기기에서 PayPal 사용 지원,2020.07.06,KRW,0.22,0.21,0.24,-0.49%,9.09%
356,HBAR, 헤데라 거버닝 카운슬 업데이트 - 새로운 맴버,2020.07.03,KRW,46.6,44.7,46.8,-1.47%,0.43%
357,PXL,"  픽션네트워크, 영어 및 중국어 지원 시작하며 본격 글로벌 서비스 돌입",2020.07.02,KRW,14.8,14.4,15.1,1.36%,2.03%
358,TTC," 업비트 세이프 TTC 지원 및 DXM, TTC 에코시스템 파트너 합류 공시",2020.07.01,조회 불가,조회 불가,조회 불가,조회 불가,-0.006288735,조회 불가
359,MBL," 무비블록, 자회사 통한 할리우드 팀과의 자체 영화 제작으로 사업 영역 확대",2020.07.01,KRW,2.08,2.06,2.31,-0.63%,11.06%
360,IOST," BSN, IOST '샨이우(Shanyiou) 플랫폼' 공식 앱으로 선정",2020.07.01,KRW,6.69,6.35,6.71,-0.63%,0.3%
361,UPP," 웁살라시큐리티, 삼성전자 블록체인서비스와 고객지원업무제휴 계약 체결",2020.07.01,KRW,18.6,18.2,36.4,-0.63%,95.7%
362,TSHP," 12ships, 밴코어스(Vancores)와 함께 채굴 분야의 개발 전략 업그레이드",2020.06.30,KRW,5.61,5.33,5.65,0.02%,0.71%
363,CRE," 캐리 프로토콜, 파트너사 회원 대상 오프라인 데이터 수집 활동 전개",2020.06.29,KRW,2.79,2.46,2.9,0.52%,3.94%
364,WAXP, 카운슬 새 맴버 발표,2020.06.25,KRW,68.3,63.7,68.6,-2.4%,0.44%
365,META, 메타디움 마이키핀 DID 적용한 비대면 AI 교육 학습관리 개발사업 시행,2020.06.23,조회 불가,조회 불가,조회 불가,조회 불가,0.0315892508,조회 불가
366,CHZ," 칠리즈, FC 바르셀로나 팬 토큰($BAR) 출시",2020.06.22,KRW,16.1,15.9,17.1,-0.77%,6.21%
367,IOST," 아이오에스티(IOST), 중국 국가기록원과 전략적 제휴",2020.06.22,KRW,7.34,7.08,7.42,-0.77%,1.09%
368,TT," 썬더코어, 타이페이시 정부 정보국 TT체인 노드 검수 성공",2020.06.20,KRW,7.13,6.95,7.36,-0.48%,3.23%
369,HBAR, 헤데라 해시그래프 월드 와이드 웹 컨소시움 (W3C) 합류,2020.06.18,KRW,50.2,49.3,52.0,-0.14%,3.59%
370,DKA," 디카르고, 캐롯손해보험과 파트너쉽 발표",2020.06.17,조회 불가,조회 불가,조회 불가,조회 불가,0.0094306363,조회 불가
371,STPT," STP 네트워크, DeFi 이니셔티브 출범 (총 5천만 STPT 규모)",2020.06.17,KRW,20.0,18.5,19.9,0.94%,-0.5%
372,AHT," 아하토큰, 2차 소각 안내",2020.06.16,조회 불가,조회 불가,조회 불가,조회 불가,0.0088920505,조회 불가
373,HBAR, 헤데라 거버닝 카운슬 새 맴버 발표,2020.06.14,KRW,50.8,49.9,51.5,0.07%,1.38%
374,CHZ," 칠리즈, Chiliz.net에 유벤투스, 갈라타사라이, 파리 생제르맹 팬 토큰 상장",2020.06.12,KRW,14.7,13.0,15.1,-5.51%,2.72%
375,AHT, 아하토큰 1차 소각 안내,2020.06.11,조회 불가,조회 불가,조회 불가,조회 불가,0.004192334,조회 불가
376,WAXP, WAX 자문위원회 발표,2020.06.09,KRW,97.5,92.0,103.0,0.03%,5.64%
377,META," [META] 부산시, 메타디움 DID 블록체인 활용 공공 서비스 개시",2020.06.09,조회 불가,조회 불가,조회 불가,조회 불가,0.0002566955,조회 불가
378,OBSR," 옵저버 제 1 저자, 서울대 외 학회 공동 참여 논문 게재 확정",2020.06.05,조회 불가,조회 불가,조회 불가,조회 불가,0.0107213312,조회 불가
379,COSM," 코스모체인, 2020년 6월 주요 공시",2020.06.04,조회 불가,조회 불가,조회 불가,조회 불가,0.0111111111,조회 불가
380,BORA," BORA(보라), 아스텔리아 글로벌 서비스 이관 통합 사업 확장",2020.06.04,조회 불가,조회 불가,조회 불가,조회 불가,0.0111111111,조회 불가
381,TT," 썬더코어, 타이페이시 정부 인터넷 투표 시스템 i-Voting 기술 통합 완료",2020.06.04,KRW,8.1,7.83,8.57,1.11%,5.8%
382,THETA," 구글 클라우드, 쎄타 네트워크 메인넷 2.0 출시 파트너 및 기업 검증자 노드로 합류",2020.05.27,KRW,429.0,417.0,580.0,-0.89%,35.2%
383,MED," 메디블록, 정보보안 국제표준 'ISO 27001' 인증 취득",2020.05.26,KRW,4.45,4.42,7.42,1.51%,66.74%
384,CRE," 캐리프로토콜, 투자자 대상 물량 언락 종료 공시",2020.05.25,KRW,1.84,1.83,2.03,-4.27%,10.33%
385,MBL," 무비블록, 배급사 호우주의보와 파트너쉽 체결",2020.05.22,KRW,1.65,1.58,1.83,-3.84%,10.91%
386,SOLVE," 솔브케어, 원격의료 거래소(GTHE) 플랫폼 출시 발표",2020.05.22,KRW,169.0,155.0,287.0,-3.84%,69.82%
387,UPP," 웁살라시큐리티, NSHC 기술제휴 및 사업협력 MOU/NDA 체결",2020.05.21,KRW,19.7,18.0,19.8,-1.66%,0.51%
388,TT," 썬더코어, TT 메인넷 PaLa R2 업그레이드",2020.05.22,KRW,6.35,6.12,6.8,-3.84%,7.09%
389,TTC," TTC 재단, '워크박스(WorkBox)' 프로젝트 런칭 및 탈중앙화 금융 강화",2020.05.19,조회 불가,조회 불가,조회 불가,조회 불가,0.0074016697,조회 불가
390,MOC," 모스랜드, 인도네시아 종합 쇼핑몰 '퍼시픽 플레이스'와 제휴",2020.05.19,KRW,26.5,24.2,38.9,0.74%,46.79%
391,MED," 메디블록, KT - 게이츠재단 감염병 대응 연구 컨소시엄 참여",2020.05.18,KRW,3.54,3.53,3.71,2.6%,4.8%
392,MOC," 모스랜드, 모바일 게임 '로열 마블 매니저' 소프트 런칭",2020.05.15,KRW,19.1,18.7,24.3,4.51%,27.23%
393,BORA," BORA(보라), 라온엔터테인먼트의 자회사 제나애드와 게임 및 IP 활용 위한 파트너쉽 체결",2020.05.14,조회 불가,조회 불가,조회 불가,조회 불가,0.0553526271,조회 불가
394,MBL," MBL Media, 호주 원작 '놀라부' 애니메이션, 영화 개발 및 제작 글로벌 독점권 계약 체결",2020.05.14,KRW,1.47,1.45,1.5,5.54%,2.04%
395,MLK," 밀크, 개발사(Team) 및 기업 Partners 물량 관련 공시",2020.05.13,KRW,220.0,219.0,236.0,2.19%,7.27%
396,META," 메타디움, 중남미 2천만 사용자 대상 DID 기반 디지털 월렛 '카이보 키핀' 출시",2020.05.13,조회 불가,조회 불가,조회 불가,조회 불가,0.0219180704,조회 불가
397,ANKR," 앵커(ANKR), '번영을 위한 셀로 연맹(Celo Alliance)' 가입",2020.05.08,KRW,2.1,1.99,2.12,6.47%,0.95%
398,CHZ," 칠리즈, UFC와 글로벌 파트너쉽 발표",2020.05.07,KRW,11.2,11.2,14.5,2.71%,29.46%
399,MED," 메디블록 컨소시엄, 민간주도 블록체인 사업대상자 선정",2020.05.07,KRW,3.52,3.37,3.59,2.71%,1.99%
400,HBAR," 헤데라 해시그래프, 거버닝 카운슬 새 맴버 : 유니버시티 칼리지 런던 (University College London)",2020.05.07,KRW,48.6,47.2,49.6,2.71%,2.06%
401,MOC," 모스랜드, VR 포커게임 Gangsta Underground 출시",2020.05.06,KRW,18.8,18.1,19.0,1.12%,1.06%
402,EMC2, 아인스타이늄 보건복지부 지정 국민안심병원 부평세림병원과 COVID-19 대응 MOU 체결,2020.05.06,KRW,58.8,56.5,60.8,1.12%,3.4%
403,UPP," 웁살라시큐리티, 프로스트 앤 설리번 '2020 아시아 태평양 블록체인-암호화폐 혁신상' 아태지역 최초 수상",2020.05.06,KRW,17.2,16.8,17.9,1.12%,4.07%
404,ORBS," 오브스(Orbs), 경영진 인사 변동 공시",2020.05.06,KRW,12.3,12.0,12.5,1.12%,1.63%
405,MLK, 밀크 - 신세계면세점 정식 서비스 론칭,2020.05.06,KRW,268.0,261.0,268.0,1.12%,0.0%
406,QKC," 쿼크체인, 첫 블록 채굴 보상감소 일정 공지",2020.05.04,KRW,3.58,3.39,3.85,0.05%,7.54%
407,MOC," 모스랜드, 2020 1Q 모스코인 바이백 결과 안내",2020.05.04,KRW,19.7,18.8,20.0,0.05%,1.52%
408,HBAR," 헤데라 해시그래프, The coupon bureau 유즈케이스 및 킹덤 트러스트 HBAR 지원 관련",2020.05.04,KRW,53.5,46.5,53.5,0.05%,0.0%
409,MED," 메디블록, 부산-울산-경남 지역 최대 의료재단 은성의료재단과 MOU 체결",2020.04.27,KRW,3.35,3.23,3.4,2.31%,1.49%
410,CHZ," 칠리즈, 토큰의 유동성 향상을 위해 소시오스닷컴 앱 내 출금 기능 개시",2020.04.24,KRW,7.95,7.72,8.35,4.87%,5.03%
411,EMC2," 아인스타이늄, 재단 핵심 인력 변동 공시",2020.04.23,KRW,45.9,45.0,46.8,2.72%,1.96%
412,PXL," PXL(픽셀), 120만 유저들이 사용하는 e스포츠 플랫폼으로 사용처 확대",2020.04.24,KRW,14.6,14.2,14.9,4.87%,2.05%
413,UPP," 웁살라 시큐리티, 법무법인(유한) 바른과 국내 최초 '디지털자산 사기 피해 회복 토털 법률서비스' 런칭",2020.04.23,KRW,15.0,14.9,15.9,2.72%,6.0%
414,TSHP, 트웰브쉽스 재단 Vancores 운영사 선임안에 대한 투표 결과,2020.04.23,KRW,4.92,4.83,5.01,2.72%,1.83%
415,MED," 메디블록, 병원용 EHR 솔루션 출시 및 3주년 사업 성과 공유",2020.04.23,KRW,3.08,3.0,3.15,2.72%,2.27%
416,MLK, 밀크-야놀자 시스템 개발 완료 공시,2020.04.23,KRW,259.0,255.0,289.0,2.72%,11.58%
417,QKC," 쿼크체인, 공식 월렛 큐포켓(QPocket), 메이커다오와 협력",2020.04.21,KRW,3.24,3.23,4.01,-3.15%,23.77%
418,BORA," BORA(보라), 바른손이엔에이의 자회사 스튜디오8과 '아스텔리아' 시리즈 서비스 계약 체결",2020.04.21,조회 불가,조회 불가,조회 불가,조회 불가,-0.0315242494,조회 불가
419,AERGO," AERGO, TROY network와 전략적 파트너쉽 체결",2020.04.21,KRW,25.4,24.4,25.8,-3.15%,1.57%
420,TSHP," 12SHIPS, 트웰브쉽스 재단 Vancores 운영사 선임안 투표진행",2020.04.13,KRW,5.25,5.18,5.36,0.08%,2.1%
421,BORA," BORA(보라), 글로벌 게임 시장에 모바일 게임 세븐가디언즈 with BORA 론칭",2020.04.10,조회 불가,조회 불가,조회 불가,조회 불가,-0.0019272191,조회 불가
422,ARDR," Jelurida, ARDOR 차일드 체인 확장을 위해 Labrys와 파트너쉽 체결",2020.04.08,KRW,41.3,39.2,43.4,-1.43%,5.08%
423,ORBS," 오브스, 새로운 POS 참여방법 공시",2020.04.08,KRW,12.3,11.9,12.4,-1.43%,0.81%
424,STORM," 스톰 X, 리워드 프로그램 출시",2020.04.07,조회 불가,조회 불가,조회 불가,조회 불가,0.0717248109,조회 불가
425,META," 메타디움, THEPOL 베타 출시 및 매일경제신문사와 미디어 파트너쉽 체결",2020.04.07,조회 불가,조회 불가,조회 불가,조회 불가,0.0717248109,조회 불가
426,UPP," 웁살라시큐리티, 싱가포르통화청(MAS) 산하기관에 디지털 자산자금세탁방지 솔루션 제공",2020.04.06,KRW,15.7,15.5,15.8,-0.62%,0.64%
427,MED," 메디블록, 세브란스병원과 메디패스 서비스 연동 완료",2020.04.03,KRW,3.03,2.94,3.08,1.24%,1.65%
428,PXL," 픽션네트워크, LINKA PAY 도입해 PXL 사용의 대중화 계기 마련",2020.04.02,조회 불가,조회 불가,조회 불가,조회 불가,0.0352609309,조회 불가
429,STPT," STP 네트워크, 삼성 블록체인 '파트너 디앱' 합류",2020.04.02,KRW,18.1,17.0,18.2,3.53%,0.55%
430,MBL," 무비블록, 무비블록 픽(MovieBloc PICK) 신규 서비스 오픈 및 영화공모 안내",2020.03.30,KRW,1.79,1.65,1.84,-5.72%,2.79%
431,NPXS," 펀디엑스, 싱가포르 통화 당국(MAS) 펀디엑스에 라이센스 임시면제 부여",2020.03.26,KRW,0.14,0.13,0.14,-1.15%,0.0%
432,ANKR," 앵커, 보닉(BONIC) 기부 컴퓨팅으로 코로나(Covid-19) 연구 지원",2020.03.26,KRW,1.6,1.5,1.6,-1.15%,0.0%
433,TTC," TTC재단, 신규 디앱 개발사 '플루토체인'에 250만 TTC 투자",2020.03.26,조회 불가,조회 불가,조회 불가,조회 불가,-0.0114736465,조회 불가
434,PXL," 픽션네트워크, 유통량 현황 및 향후 계획 공시",2020.03.25,조회 불가,조회 불가,조회 불가,조회 불가,0.0397663726,조회 불가
435,CRE," 캐리, 중국 진출 발판을 위한 CRE 바나나톡 리스팅",2020.03.24,KRW,1.64,1.55,1.76,9.25%,7.32%
436,META," 메타디움, 블록체인 금융 서비스 전문 기업 Celo가 주도하는 'Celo 얼라이언스' 참여",2020.03.19,조회 불가,조회 불가,조회 불가,조회 불가,-0.0042810747,조회 불가
437,COSM," 코스모체인, COSM 소각 관련 공시",2020.03.18,조회 불가,조회 불가,조회 불가,조회 불가,0.0609240407,조회 불가
438,HBAR," 헤데라 해시그래프, 거버닝 카운슬 새 맴버 발표",2020.03.19,KRW,47.3,42.9,49.7,-0.43%,5.07%
439,MED," 메디블록, 블록체인기반 간편보험청구 서비스 '메디패스' iOS 버전 출시",2020.03.19,KRW,3.03,2.7,3.05,-0.43%,0.66%
440,MBL," 무비블록, MBL media 설립 및 안홍주 대표이사 선임",2020.03.18,KRW,1.36,1.32,1.49,6.09%,9.56%
441,TTC," TTC, 블록체인 첫 번째 반감기 및 티그리스 청산 기능 정상화 공시",2020.03.17,조회 불가,조회 불가,조회 불가,조회 불가,-0.0758431032,조회 불가
442,STORM," 스톰 X, 암호화폐 캐시백 서비스 스톰샵(StormShop) 한국 진출",2020.03.12,조회 불가,조회 불가,조회 불가,조회 불가,-0.0066847713,조회 불가
443,BORA," BORA(보라), 글로벌 게임 서비스 환경 구축 위한 BORA 아일랜드 2.0 출시",2020.03.12,조회 불가,조회 불가,조회 불가,조회 불가,-0.0066847713,조회 불가
444,ORBS," 오브스(ORBS), 삼성 블록체인 파트너쉽 공시",2020.03.12,조회 불가,조회 불가,조회 불가,조회 불가,-0.0066847713,조회 불가
445,MLK," 밀크(MiL.K), 신규 파트너로 신세계면세점 합류",2020.03.12,KRW,726.0,680.0,730.0,-0.67%,0.55%
446,META," 메타디움, 메타(META) 코인 활용 투표/조사 모바일앱, ""THEPOL (서명과 여론)"" 출시 예정",2020.03.11,조회 불가,조회 불가,조회 불가,조회 불가,-0.015628213,조회 불가
447,QKC," 쿼크체인, Nuts Finance와 기술 및 사업 제휴",2020.03.10,KRW,4.09,3.96,6.44,-1.52%,57.46%
448,QKC," 쿼크체인, 멀티네이티브 토큰 출시",2020.03.09,KRW,4.76,4.06,4.84,-7.51%,1.68%
449,NXT," NXT, 메인넷 클라이언트 v1.12.1 출시 및 하드포크 일정 안내",2020.03.04,BTC,1.5e-06,1.44e-06,1.7e-06,-1.62%,13.33%
450,META," 메타디움 엔터프라이즈 플랫폼, 과학기술정보통신부 TTA 성능시험 통해 기술경쟁력 입증",2020.03.04,조회 불가,조회 불가,조회 불가,조회 불가,-0.016206089,조회 불가
451,STPT," STP네트워크, 코박 내 사용으로 수요처 확보, 유틸리티 확대 예정",2020.02.28,조회 불가,조회 불가,조회 불가,조회 불가,-0.0039102504,조회 불가
452,TSHP," 12SHIPS, 2020년 2월 TSHP 소각",2020.02.28,KRW,12.9,11.8,16.7,-0.39%,29.46%
453,BORA," BORA(보라), 댑레이더와 전략제휴 계약 체결 및 프로토콜 프로젝트 합류",2020.02.26,조회 불가,조회 불가,조회 불가,조회 불가,-0.0260465916,조회 불가
454,MOC," 모스랜드, 루니버스 메인넷으로 토큰 스왑 계획 공시",2020.02.20,KRW,60.3,47.0,63.0,-3.57%,4.48%
455,MBL," 무비블록, 알리바바 X 유쿠 플랫폼 '따위하오'에 무비블록 공식 채널 오픈",2020.02.20,KRW,6.09,5.46,6.37,-3.57%,4.6%
456,CPT, 콘텐츠 프로토콜 사업 종료 및 잔여 자산 배분 관련,2020.02.20,조회 불가,조회 불가,조회 불가,조회 불가,-0.0357323872,조회 불가
457,STORM," 스톰토큰, 2020 로드맵, 신규 제품 및 파트너쉽 관련",2020.02.18,조회 불가,조회 불가,조회 불가,조회 불가,-0.0189553135,조회 불가
458,CPT," 콘텐츠 프로토콜, 사업 종료 및 잔여 자산 배분 공지",2020.02.19,조회 불가,조회 불가,조회 불가,조회 불가,0.0349711488,조회 불가
459,ENJ," 엔진플랫폼, 이더리움 메인넷 론칭 완료",2020.02.19,KRW,164.0,150.0,171.0,3.5%,4.27%
460,MOC," 모스랜드, 서비스 수익연동 MOC 바이백 프로그램 계획 공시",2020.02.19,KRW,80.3,58.3,97.0,3.5%,20.8%
461,MBL," 무비블록, 국내 최대 커뮤니티 코박 플랫폼 양수 및 MovieBloc 노드 스테이킹 보상",2020.02.18,KRW,5.14,4.73,5.47,-1.9%,6.42%
462,MOC," 모스랜드, 신규 서비스 출시 및 파트너쉽 관련 공시",2020.02.17,KRW,29.9,22.8,31.1,1.36%,4.01%
463,META," 메타디움 DID, 2천만 사용자 보유한 중남미 지역 게임 퍼블리싱 플랫폼에서 3월부터 이용 가능",2020.02.14,조회 불가,조회 불가,조회 불가,조회 불가,0,조회 불가
464,UPP," 웁살라시큐리티, 암호화폐 추적 솔루션 BTC 추적 기능 추가",2020.02.14,KRW,22.9,19.3,29.2,0%,27.51%
465,STPT," STP네트워크, 슈퍼노드 스테이킹 출시 통한 2400만 STPT락업",2020.02.14,조회 불가,조회 불가,조회 불가,조회 불가,0,조회 불가
466,HBAR, 헤데라 해시그래프 거버닝 카운슬 새 멤버 발표,2020.02.12,KRW,30.4,29.6,43.3,2.6%,42.43%
467,MBL," 무비블록, 토큰스왑 지원 및 파트너쉽 관련 공시",2020.02.10,KRW,1.99,1.96,2.03,2.19%,2.01%
468,BORA," BORA(보라) 개발사 웨이투빗, 티웨이브와 전략적 제휴 체결",2020.02.07,조회 불가,조회 불가,조회 불가,조회 불가,0.0189976479,조회 불가
469,STPT," STP 네트워크, 최대 연이율 30% 스테이킹 프로그램 출시",2020.02.07,조회 불가,조회 불가,조회 불가,조회 불가,0.0189976479,조회 불가
470,MOC," 모스랜드, 더 헌터스 'iF 디자인 어워드 수상",2020.02.05,KRW,20.1,19.4,20.9,-1.07%,3.98%
471,ANKR," ANKR, 파트너쉽 및 기타 공시",2020.02.05,KRW,2.53,2.46,2.8,-1.07%,10.67%
472,TSHP," 12SHIPS, 2020년 첫 TSHP 소각",2020.01.31,KRW,14.8,14.2,14.8,1.02%,0.0%
473,UPP," 센티넬프로토콜, 삼성 블록체인 월렛의 DApp에 리스팅",2020.01.28,KRW,17.1,16.1,17.1,1.67%,0.0%
474,TTC," 티티씨, TTC 재단 2020상반기 전략 관련 공시",2020.01.15,조회 불가,조회 불가,조회 불가,조회 불가,0.0593109464,조회 불가
475,TTC," 티티씨, 티그리스 프로토콜 내 담보대출 서비스(CDS) 출시",2019.11.15,조회 불가,조회 불가,조회 불가,조회 불가,-0.0133189697,조회 불가
476,MED," 메디블록, 우리아이들병원과 MOU 체결",2019.11.15,KRW,5.09,4.95,5.26,-1.33%,3.34%
477,MBL," 무비블록, 한겨레 교육 파트너쉽 체결",2019.11.13,KRW,2.07,1.97,2.08,0.88%,0.48%
478,SOLVE," 솔브케어, 최고 의료 책임자 임명",2019.11.13,KRW,135.0,130.0,139.0,0.88%,2.96%
479,TSHP," 12SHIPS, 첫 소각 개시",2019.11.04,KRW,21.7,21.1,22.3,-0.79%,2.76%
480,COSM," 코스모체인, 바이백 진행 및 토큰 모델 구현을 통한 유통량 감소",2019.11.05,조회 불가,조회 불가,조회 불가,조회 불가,0.0075243846,조회 불가
481,JNT," 지브렐, 블록체인 기반 프라이빗 파이낸싱 플랫폼으로 아부다비 Innovation Challenge 우승",2019.11.13,조회 불가,조회 불가,조회 불가,조회 불가,0.0087529504,조회 불가
482,SOLVE," 솔브케어, 재무/행정 본부장 임명, 사무실 개설 및 본사 이전 관련 공시",2019.11.01,KRW,141.0,139.0,155.0,0.09%,9.93%
483,UPP," 센티넬프로토콜, Uppsala Security로 리브랜딩",2019.10.28,KRW,11.1,11.0,12.4,2.28%,11.71%
484,COSM," 코스모체인, 율리시스 캐피탈 추가 투자",2019.10.25,조회 불가,조회 불가,조회 불가,조회 불가,-0.0094040335,조회 불가
485,ARDR," Ardor, Full Node 운영이 가능한 안드로이드 앱 출시",2019.10.22,KRW,60.3,58.1,60.7,-0.48%,0.66%
486,THETA," 세타, DLive와 파트너쉽 체결",2019.10.10,KRW,108.0,102.0,110.0,4.67%,1.85%
487,COSM," 코스모체인, 2019년 3분기 바이백 완료 및 2500만 COSM 소각 완료",2019.10.11,조회 불가,조회 불가,조회 불가,조회 불가,-0.001473188,조회 불가
488,UPP," 센티넬프로토콜, 크립토 분석 위험도 평가 솔루션 'CARA' 런칭",2019.10.11,KRW,12.0,11.7,12.8,-0.15%,6.67%
489,ORBS," 오브스, 블록체인교육연합(BEA) 파트너쉽 공시",2019.10.11,조회 불가,조회 불가,조회 불가,조회 불가,-0.001473188,조회 불가
490,JNT," 지브렐, 블록체인 기반 프라이빗 파이낸싱 플랫폼 출시",2019.10.11,조회 불가,조회 불가,조회 불가,조회 불가,-0.001473188,조회 불가
491,MED," 메디블록, 심볼 및 로고 변경",2019.10.08,KRW,4.16,4.0,5.97,3.24%,43.51%
492,MBL," 무비블록, 신규 온톨로지(Ontology) 플랫폼 노드로 선정",2019.11.13,KRW,2.07,1.97,2.08,0.88%,0.48%
493,MBL," 무비블록, DMZ 국제다큐영화제 파트너쉽 체결 공시",2019.10.17,KRW,1.91,1.83,1.92,-2.0%,0.52%
494,QKC," 쿼크체인, TokenTuber와 전략적 파트너쉽",2019.10.02,KRW,6.6,6.52,7.19,0.42%,8.94%
495,TTC," 티티씨, TTC내 탈중앙화금융(DeFi) 티그리스 프로토콜 오픈베타 시작",2019.10.02,조회 불가,조회 불가,조회 불가,조회 불가,0.0042232278,조회 불가
496,LUNA," 테라, 업무협약 관련 공시",2019.10.01,BTC,0.00010319,0.00010061,0.00013,2.84%,25.98%
497,COSM," 코스모체인, 구체적인 토큰 이코노미 설계 방향을 담은 블루페이퍼 발표",2019.09.30,조회 불가,조회 불가,조회 불가,조회 불가,-0.02066032,조회 불가
498,MEDX," 메디블록, 하얼빈시 제2병원 기술 수출",2019.09.30,조회 불가,조회 불가,조회 불가,조회 불가,-0.02066032,조회 불가
499,TSHP," 12SHIPS, 첫 마일스톤 달성, 한산도풀 오픈",2019.09.24,KRW,23.7,22.5,25.2,-3.28%,6.33%
500,BORA," 보라플랫폼, 토큰 발행량 일부 소각 계획 공시",2019.09.18,조회 불가,조회 불가,조회 불가,조회 불가,-0.005934229,조회 불가
501,BORA," 보라플랫폼, 이더리움에서 클레이튼 메인넷으로 이전 확정 및 토큰 스왑 계획 공시",2019.09.18,조회 불가,조회 불가,조회 불가,조회 불가,-0.005934229,조회 불가
502,STPT," STPT네트워크, 바이백 토큰 전량 소각 발표",2019.09.18,조회 불가,조회 불가,조회 불가,조회 불가,-0.005934229,조회 불가
503,COSM," 코스모체인, 클레이튼폰 내 기본 탑재",2019.09.06,조회 불가,조회 불가,조회 불가,조회 불가,0.000237323,조회 불가
504,STPT," STP네트워크, 온톨로지와 PoB 페이먼트 프로그램 발표",2019.08.30,조회 불가,조회 불가,조회 불가,조회 불가,-0.0222278782,조회 불가
505,THETA," 세타, 세타 네트워크의 검증 노드를 운영 할 최초의 기업 파트너사 발표",2019.08.28,KRW,144.0,143.0,159.0,-1.71%,10.42%
506,MBL," 무비블록, 무료 베타 서비스 오픈 공시",2019.08.27,KRW,2.25,2.16,2.54,1.66%,12.89%
507,LUNA," 테라, 홍콩 해시키 캐피탈로 부터 투자 유치",2019.08.23,BTC,0.00012841,0.00011589,0.00012931,-0.68%,0.7%
508,POWR," 파워렛저, 서호주 P2P 에너지 거래 프로젝트 2단계 돌입",2019.08.21,KRW,67.6,65.4,67.8,-1.62%,0.3%
509,QKC," 쿼크체인, 한국모바일게임협회 및 한국 블록체인 콘텐츠 협회와 파트너쉽 체결",2019.08.20,KRW,18.4,18.4,19.8,5.24%,7.61%
510,MEDX," 메디블록, 토큰스왑 일정 공개",2019.08.20,조회 불가,조회 불가,조회 불가,조회 불가,0.0524422416,조회 불가
511,ELF," 엘프, 일본 기프트 카드 교환 플랫폼 Ameten(아마튼)과 전략적 파트너쉽 체결",2019.08.20,KRW,107.0,105.0,113.0,5.24%,5.61%
512,LUNA," 테라, 국내 대표 음원 스트리밍 서비스 벅스와 파트너쉽 체결",2019.08.14,BTC,0.0001134,0.00010814,0.00013395,-4.01%,18.12%
513,MBL," 무비블록, (사)한국독립PD협회와 파트너쉽 체결",2019.08.14,KRW,2.17,2.07,2.23,-4.01%,2.76%
514,STPT," STP네트워크, 프라이빗 세일 Fast Unlock 옵션 및 추가 소각 발표",2019.08.08,조회 불가,조회 불가,조회 불가,조회 불가,0.031708025,조회 불가
515,TTC," 티티씨, TTC 홀더 대상 DeFi 프로젝트 토큰 세일, 락드랍(Lockdrop) 지원 및 TTC 에코펀드 출자",2019.08.08,조회 불가,조회 불가,조회 불가,조회 불가,0.031708025,조회 불가
516,QKC," 쿼크체인, 대량 바이백 프로그램 및 팀/재단 물량 락업 연장",2019.08.07,KRW,17.4,17.0,21.2,-2.81%,21.84%
517,SOLVE," 솔브케어, 주요인사 관련 공시",2019.08.07,KRW,206.0,185.0,215.0,-2.81%,4.37%
518,AERGO," 아르고, 블로코 시드(SEED) 그룹과 중동, 북아프리카 지역 블록체인 인프라 구축 관련 파트너쉽 체결",2019.08.06,KRW,130.0,130.0,140.0,9.44%,7.69%
519,LUNA," 테라, 국내 1위 B2B 패션 플랫폼 신상마켓과 파트너쉽 체결",2019.08.05,BTC,0.00011799,0.00011163,0.0001205,1.45%,2.13%
520,UPP," 센티넬프로토콜, 옥타솔루션 고객사와 자금세탁방지 구축 공급 계약 체결",2019.08.05,KRW,20.5,18.2,20.6,1.45%,0.49%
521,UPP," 센티넬프로토콜, Hexlant. (헥슬란트)와 전략적 파트너쉽 체결",2019.08.05,KRW,20.5,18.2,20.6,1.45%,0.49%
522,ORBS," 오브스, 파트너쉽 및 메인넷 업데이트 관련",2019.08.02,조회 불가,조회 불가,조회 불가,조회 불가,0.0301078866,조회 불가
523,QKC," 쿼크체인, 토큰스왑 시작 (7/31)",2019.07.31,KRW,16.7,16.3,17.4,0.38%,4.19%
524,MEDX," 메디블록, 메인넷 패너시어(Panacea) 런칭",2019.07.31,조회 불가,조회 불가,조회 불가,조회 불가,0.0038120567,조회 불가
525,STPT," STP네트워크, 체인링크와 오라클 연동 발표",2019.07.30,조회 불가,조회 불가,조회 불가,조회 불가,-0.0026525199,조회 불가
526,CPT," 콘텐츠프로토콜, MBC와 파트너쉽 체결",2019.07.29,조회 불가,조회 불가,조회 불가,조회 불가,0,조회 불가
