,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
49,PICA," 피카프로젝트, '앙드레 사라이바' 내한 전시 단독진행 및 작품 NFT 화 추진",2021.02.10,BTC,1e-06,9e-07,1.1e-06,-0.59%,10.0%
50,TSHP, 12Ships 는 파일코인 채굴기 출시를 발표,2021.02.10,KRW,5.04,4.85,5.48,-0.59%,8.73%
51,PXL," 픽션네트워크, 엑시 인피니티와 파트너십 체결",2021.02.10,KRW,16.9,16.4,18.3,-0.59%,8.28%
52,HBAR," 헤데라해시그래프, 스마트 컨트랙트 없이 토큰 발급 및 배포 가능한 HTS 서비스 출시",2021.02.10,KRW,106.0,104.0,120.0,-0.59%,13.21%
53,ITAM, 아이텀 세일 물량 배분 완료,2021.02.10,BTC,2.8e-07,2.8e-07,3.6e-07,-0.59%,28.57%
54,HUM," 휴먼스케이프, ‘대웅제약’과 희귀질환자 데이터 기반 신약 연구 협약",2021.02.09,KRW,22.9,22.1,23.8,17.05%,3.93%
55,MARO," Maro, 바이트브릿지 글로벌 확장을 위한 에코시스템펀드 출자",2021.02.09,KRW,25.8,25.1,27.1,17.05%,5.04%
56,TON," 토카막 네트워크, KDAC과 파트너십 체결",2021.02.08,KRW,3415.0,3165.0,3530.0,0.47%,3.37%
57,ITAM, 아이텀 NFT 중앙화 거래 플랫폼 NFT FARM 개발자 API V1.0 출시,2021.02.08,BTC,3.2e-07,3.1e-07,3.4e-07,0.47%,6.25%
58,PICA, PICA 토큰 유통량 외에 락업,2021.02.08,BTC,1.07e-06,1.05e-06,1.15e-06,0.47%,7.48%
59,AERGO, AERGO HUB 베타 버전 출시 – 주요 마일스톤 달성,2021.02.05,KRW,61.8,55.5,67.0,1.15%,8.41%
60,CBK," 코박, 라이파이낸스, STP 네트워크와 함께 한국 폴카닷 얼라이언스 (KPA) 출범",2021.02.05,KRW,2645.0,2505.0,2695.0,1.15%,1.89%
61,STPT," STP, 라이 파이낸스 코박과 함께 한국 폴카닷 얼라이언스 출범",2021.02.05,KRW,25.6,24.6,31.5,1.15%,23.05%
62,STPT," STP 2.0, 커뮤니티 거버넌스 기능 출시",2021.02.04,KRW,23.4,22.7,40.7,3.82%,73.93%
