,코인 명,공시 명,날짜
564,ARDR," 아더 플랫폼, ""젤루리다코리아컨설팅 주식회사"" 설립",2019.05.27
565,IOST," 아이오에스티, 파트너쉽 체결 관련 공시",2019.05.21
566,IOST," 아이오에스티, 메인넷 토큰스왑 안내",2019.05.21
567,COSM," 코스모체인, 토큰 매도 공시",2019.05.21
568,COSM," 코스모체인, 투자 유치 공시",2019.05.21
569,MEDX," 메디블록, 의료 마이데이터 지원사업자로 최종 선정",2019.05.16
570,UPP," 센티넬프로토콜, 출시관련 공시 3건",2019.05.16
571,UPP," 센티넬프로토콜, 제휴관련 공시 3건",2019.05.16
572,CPT," 콘텐츠프로토콜, CPT의 실사용처, ""CPT 스토어"" 런칭",2019.05.16
573,MOC," 모스랜드, 주요 마일스톤 달성을 위한 더 헌터스 출시",2019.05.16
574,MOC," 모스랜드, 토큰 배분 종료",2019.05.16
575,MOC," 모스랜드, 총괄 아트 디렉터 공식 임명",2019.05.16
576,MOC," 모스랜드, 구글 파트너쉽 체결",2019.05.15
