,코인 명,공시 명,날짜
216,PCI," 페이코인, 탈중앙화 오라클 솔루션 제공업체 체인링크(Chainlink)와 업무협약(MOU) 체결",2020.10.27
217,GOM2," 고머니2(GOM2) 보유자, 머니스왑토큰(MSWAP) 에어드랍 이벤트",2020.10.26
218,STMX," StormX 신규 $1,000 친구 초대 보너스 출시",2020.10.23
219,IQ," 블록체인 백과사전 에브리피디아, 미국 최대 통신사 AP 통신과 파트너십",2020.10.23
220,GOM2, 고머니2(GOM2) 토큰 바이백 (6차),2020.10.22
221,MLK, 밀크사전투자자락업일정변경공시,2020.10.22
222,AHT, 아하토큰 일부 물량 소각 안내,2020.10.22
223,ORBS," 오브스(Orbs), 재단물량 100%(20억개) 락업 실행완료",2020.10.20
224,SOLVE," 솔브케어, 파트너쉽 관련 공시",2020.10.20
225,MBL, WMBL 머니스왑 Pool 추가 및 10~11월 온라인 영화제 라인업 공시의 건,2020.10.19
226,HBAR, 온체인커스터디안HBAR커스터디지원,2020.10.19
227,CHZ," 칠리즈, 신트트라위던(STVV) 구단과 파트너십 발표",2020.10.16
228,PCI," 페이코인, 글로벌 앱 서비스 출시",2020.10.16
229,UPP," 웁살라시큐리티, 디지털 자산 포렌식 솔루션에 Ripple (XRP), Bitcoin Cash (BCH) 추적 기능 추가",2020.10.15
230,GOM2, 머니스왑 런칭 및 머니스왑(MSWAP)토큰 에어드랍,2020.10.14
231,ORBS," 오브스(Orbs), OEGP지원 DeFi 프로젝트 선정",2020.10.14
232,ONIT," 온버프, 10월 15일 베스팅 물량에 대한 전량 락업",2020.10.14
233,PLA," 플레이댑, 블록체인 게임사 더 샌드박스와 파트너십 체결",2020.10.14
234,HBAR, 마일스톤 달성 : 해시그래프 플랫폼 소스코드 오픈 리뷰 출시,2020.10.12
235,AHT, 어드바이저 물량 락업해제 및 일부 회수 안내,2020.10.12
236,CTSI, 카르테시 3분기 주요 마일스톤 달성,2020.10.11
237,PLA," 플레이댑, 블록체인 게임 ‘크립토도저’ 라인 블록체인 생태계 참여",2020.10.08
238,CHZ," 칠리즈, BSC 영보이즈 구단과 파트너쉽 발표",2020.10.08
239,MED," 메디블록, 과기정통부 주관 '클라우드 플래그쉽 프로젝트' 기업 선정",2020.10.08
240,ITAM, 아이텀게임즈 'NFT.farm' 스테이킹 기능 업데이트,2020.10.07
241,TT, 썬더코어 에코 시스템 계획 로드맵 업데이트 안내,2020.10.07
242,GOM2, 애니멀고 X 고머니2 백서 3.0 및 추가 로드맵 공개,2020.10.06
243,RINGX," RINGX 재단, 기프트레터 이용 계약 체결",2020.10.06
244,UPP," 웁살라시큐리티, 삼성 블록체인 월렛 보안 강화 차별화 위해 가상자산 AML 솔루션 연동",2020.10.06
245,WAXP," 왁스, 디파이와 NFT 결합된 신규 토큰 이코노미 모델 공개",2020.10.05
246,HUNT, 2020-3분기 수수료 수입 소각 안내,2020.10.05
247,ADX," 애드엑스 네트워크가 체인링크와 ADX-USD 가격 피드를 메인넷에 통합하고, 탄력적 토큰 발행을 시작합니다.",2020.10.01
248,ADX," AdEx네트워크, 새로운 ADX 토큰 이코노믹스 및 인센티브가 적용된 스테이킹",2020.10.01
249,THETA," 쎄타 네트워크, 라인블록체인과 함께 아시아 시장을 타겟할 비디오 서비스 런칭 발표",2020.09.30
250,PLA," 플레이댑 플라(PLA), 메인넷 확장 - 메타블록체인 위해 'DSRV LABS(Nonce)'와 기술협약 체결",2020.09.29
251,GOM2," 글로벌 자동차제조사 랜드로버, 재규어 공식 수입사 (주)천일오토모빌과 애니멀고 업무협약",2020.09.28
252,MOC," 모스랜드, 2020 3Q 모스코인 바이백 결과 안내",2020.09.28
253,ONIT," 온버프는 상장 후 두번째로 언락될 예정인 온버프 토큰(ONIT) 17,392,000개를 전량 소각하였습니다.",2020.09.25
254,OGN, 오리진 프로토콜(Origin Protocol) 자체 스테이블 코인 OUSD 출시,2020.09.25
255,GOM2, 코스닥 상장사 엔시트론과 전략적 파트너쉽 체결,2020.09.23
256,ONIT," 온버프, ‘뿌까’ 캐릭터 회사 VOOZ와 파트너십 체결",2020.09.23
257,CHZ, 칠리즈 코인 소각 안내,2020.09.23
258,TT, 썬더코어 DeFi 에코시스템 DEX 'TTSwap' 업그레이드,2020.09.22
259,HBAR, 헤데라 해시그래프에 오스트레일리아 농업 공급망 출시,2020.09.22
260,ITAM, 아이텀게임즈 '아트그라비아'와 신규 서비스를 위한 디지털 콘텐츠 유통 계약 공시,2020.09.22
261,MARO," MARO, TTC 리브랜딩 및 주요 서비스 공시",2020.09.22
262,QKC," 쿼크체인, AMM DEX '이퀄라이저(Equalizer)' 출시",2020.09.22
263,MBL," 무비블록, 디파이 생태계 확장을 위한 ERC-20 토큰 WMBL 출시",2020.09.21
